gaussian, graph, segmentation, output
10615, 10145, 82077, 4766
9029, 7287, 81941, 4740
9027, 7006, 82655, 4749
9048, 6993, 82004, 4784
8970, 7019, 82098, 4778
9021, 6999, 82445, 4765
9021, 6987, 82144, 4774
9032, 7013, 82208, 4751
9086, 6978, 82214, 4753
9006, 7047, 82274, 4705
9054, 6997, 82406, 4796
9038, 6992, 82024, 4740
9038, 7018, 82255, 4823
9011, 7029, 82058, 4732
9068, 7005, 82701, 4742
9017, 6999, 82106, 4807
9049, 6978, 82734, 4787
9045, 6975, 82680, 4809
9055, 6985, 85490, 4742
9045, 7020, 82751, 4792
